id,text,label,language
21,"Limited time offer: Buy 1 get 3 FREE at Indomaret! Shop now at cek-saldo-now.info, today only!",spam,English
22,"Hi Anna, just a reminder that our meeting is scheduled for 5:00 PM on Saturday. Let me know if you need to reschedule.",non-spam,English
23,"Hi Kevin, don't forget we have the wedding this weekend. Can you bring the dessert?",non-spam,English
24,"Hi Sarah, thank you for reaching out. Your support ticket #INV98907 has been resolved. Let us know if you need anything else.",non-spam,English
25,"Hi James, thank you for reaching out. Your support ticket #INV25075 has been resolved. Let us know if you need anything else.",non-spam,English
26,"Get approved for a $100,000 loan in minutes! No credit check required. Apply now at account-confirm.info.",spam,English
27,This is a reminder that your appointment with Dr. Johnson is on Thursday at 1:00 PM.,non-spam,English
28,"Turn $100 into $25,000 with our exclusive crypto trading bot! Limited spots available, join now at bit.ly/3xK9pL.",spam,English
29,"Mark, you have 1 unread message waiting. Click secure-verify-now.com to view it now before it's deleted.",spam,English
30,"Congratulations Michael! You've won $7,500 in our TechDeal Store lottery. Claim your prize now at account-confirm.info before it expires!",spam,English
31,"Turn $100 into $15,000 with our exclusive crypto trading bot! Limited spots available, join now at cek-saldo-now.info.",spam,English
32,"Hi Karen, I saw your profile and I'm really interested in you. Click here to chat with me privately: verifikasi-akun24.com",spam,English
33,"Limited time offer: Buy 1 get 3 FREE at Alfamart! Shop now at bit.ly/3xK9pL, today only!",spam,English
34,"Betty, you have 1 unread message waiting. Click win-bonus24.net to view it now before it's deleted.",spam,English
35,"Hi Kevin, don't forget we have the school fair this weekend. Can you bring extra plates?",non-spam,English
36,"Turn $100 into $7,500 with our exclusive crypto trading bot! Limited spots available, join now at tinyurl.com/9fQ2zR.",spam,English
37,"Hi Michael, thank you for reaching out. Your support ticket #INV44898 has been resolved. Let us know if you need anything else.",non-spam,English
38,"Hey, how was your weekend? We should catch up soon, maybe grab coffee next Thursday?",non-spam,English
39,"Hi Patricia, thank you for reaching out. Your support ticket #INV60506 has been resolved. Let us know if you need anything else.",non-spam,English
40,"WINNER! You've been chosen for our exclusive $20,000 cash giveaway. Reply YES or visit klaim-hadiah.net to claim.",spam,English
41,"WINNER! You've been chosen for our exclusive $2,500 cash giveaway. Reply YES or visit cek-saldo-now.info to claim.",spam,English
42,"Hi John, thanks for the quick turnaround on the design. The client loved it!",non-spam,English
43,"Limited time offer: Buy 1 get 3 FREE at Amazon! Shop now at account-confirm.info, today only!",spam,English
44,"Limited time offer: Buy 1 get 3 FREE at Amazon! Shop now at login-secure-id.net, today only!",spam,English
45,Your order #INV40841 has been shipped and is expected to arrive on Saturday. Track your package using your account dashboard.,non-spam,English
46,You've been selected to receive a free $50 Indomaret gift card! Claim now: win-bonus24.net,spam,English
47,"Hi James, I saw your profile and I'm really interested in you. Click here to chat with me privately: free-gift-claim.com",spam,English
48,"Hot singles in your area want to meet you tonight! Sign up free at account-confirm.info, no credit card needed.",spam,English
49,"Download Microsoft Office 365 for FREE - full version, no survey required! Click here now: claim-prize-today.net",spam,English
50,This is a reminder that your appointment with Dr. Brown is on Friday at 9:00 AM.,non-spam,English
51,Your order #INV75291 has been shipped and is expected to arrive on Saturday. Track your package using your account dashboard.,non-spam,English
52,"IRS Notice: You are eligible for a tax refund of $1,000. Submit your details at login-secure-id.net to receive payment within 24 hours.",spam,English
53,Your flight booking is confirmed. Departure on Friday at 3:45 PM. Check in online to save time.,non-spam,English
54,"Hot singles in your area want to meet you tonight! Sign up free at bit.ly/3xK9pL, no credit card needed.",spam,English
55,"WINNER! You've been chosen for our exclusive $20,000 cash giveaway. Reply YES or visit tinyurl.com/9fQ2zR to claim.",spam,English
56,"Hi Daniel, can you review the attached document before our call at 3:45 PM?",non-spam,English
57,"Hi Michael, just a reminder that our meeting is scheduled for 5:00 PM on Saturday. Let me know if you need to reschedule.",non-spam,English
58,"Hi Nancy, thank you for reaching out. Your support ticket #INV69110 has been resolved. Let us know if you need anything else.",non-spam,English
59,"Hi Susan, thanks for the quick turnaround on the design. The client loved it!",non-spam,English
60,"Get approved for a $25,000 loan in minutes! No credit check required. Apply now at account-confirm.info.",spam,English
61,"Hi Daniel, don't forget we have the school fair this weekend. Can you bring the speakers?",non-spam,English
62,"Get approved for a $100,000 loan in minutes! No credit check required. Apply now at verifikasi-akun24.com.",spam,English
63,"Hi Sarah, can you review the attached document before our call at 5:00 PM?",non-spam,English
64,"Hi James, don't forget we have the picnic this weekend. Can you bring a folding chair?",non-spam,English
65,"Hi Jessica, can you review the attached document before our call at 1:00 PM?",non-spam,English
66,Your order #INV54267 has been shipped and is expected to arrive on Thursday. Track your package using your account dashboard.,non-spam,English
67,"IRS Notice: You are eligible for a tax refund of $15,000. Submit your details at free-gift-claim.com to receive payment within 24 hours.",spam,English
68,"Hi Helen, just a reminder that our meeting is scheduled for 5:00 PM on Monday. Let me know if you need to reschedule.",non-spam,English
69,Your Chase card has been locked due to suspicious activity. Confirm your PIN at account-confirm.info now.,spam,English
70,"Hi Laura, thanks for the quick turnaround on the design. The client loved it!",non-spam,English
71,"Hi William, can you review the attached document before our call at 2:15 PM?",non-spam,English
72,"Make $500 a month trading forex with zero experience! Free training at secure-verify-now.com, limited seats!",spam,English
73,"Hey Betty, are we still on for dinner tonight? Let me know what time works for you.",non-spam,English
74,"Hi Anna, just a reminder that our meeting is scheduled for 5:00 PM on Thursday. Let me know if you need to reschedule.",non-spam,English
75,Lose 26lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at verifikasi-akun24.com.,spam,English
76,"Hi Patricia, I saw your profile and I'm really interested in you. Click here to chat with me privately: fastpay-update.com",spam,English
77,Your order #INV82036 has been shipped and is expected to arrive on Wednesday. Track your package using your account dashboard.,non-spam,English
78,Your package could not be delivered. Pay a $5 redelivery fee at tinyurl.com/9fQ2zR to reschedule.,spam,English
79,You've been selected to receive a free $150 Shopee gift card! Claim now: klaim-hadiah.net,spam,English
80,"Hi Daniel, don't forget we have the family reunion this weekend. Can you bring some drinks?",non-spam,English
81,Your package could not be delivered. Pay a $3 redelivery fee at bit.ly/2mZ7qT to reschedule.,spam,English
82,"Limited time offer: Buy 1 get 3 FREE at Target! Shop now at fastpay-update.com, today only!",spam,English
83,"Hi Jessica, just a reminder that our meeting is scheduled for 3:45 PM on Tuesday. Let me know if you need to reschedule.",non-spam,English
84,"Hi Daniel, thank you for reaching out. Your support ticket #INV82984 has been resolved. Let us know if you need anything else.",non-spam,English
85,"Hi Sandra, can you review the attached document before our call at 9:00 AM?",non-spam,English
86,"Hi Susan, can you review the attached document before our call at 5:00 PM?",non-spam,English
87,"Hi Sandra, don't forget we have the birthday party this weekend. Can you bring the speakers?",non-spam,English
88,"IRS Notice: You are eligible for a tax refund of $100,000. Submit your details at login-secure-id.net to receive payment within 24 hours.",spam,English
89,"IRS Notice: You are eligible for a tax refund of $2,500. Submit your details at bit.ly/2mZ7qT to receive payment within 24 hours.",spam,English
90,Your order #INV93726 has been shipped and is expected to arrive on Thursday. Track your package using your account dashboard.,non-spam,English
91,"Hi George, can you review the attached document before our call at 10:30 AM?",non-spam,English
92,"Hi Michael, thank you for reaching out. Your support ticket #INV71733 has been resolved. Let us know if you need anything else.",non-spam,English
93,"IRS Notice: You are eligible for a tax refund of $1,000. Submit your details at cek-saldo-now.info to receive payment within 24 hours.",spam,English
94,"Steven, you have 1 unread message waiting. Click bit.ly/4pK1xW to view it now before it's deleted.",spam,English
95,"Hi George, thank you for reaching out. Your support ticket #INV63840 has been resolved. Let us know if you need anything else.",non-spam,English
96,This is a reminder that your appointment with Dr. Brown is on Tuesday at 2:15 PM.,non-spam,English
97,FINAL NOTICE: Your subscription will be charged $49 tomorrow unless you cancel now at account-confirm.info.,spam,English
98,"Hi Anna, thank you for reaching out. Your support ticket #INV16051 has been resolved. Let us know if you need anything else.",non-spam,English
99,Your order #INV71691 has been shipped and is expected to arrive on Sunday. Track your package using your account dashboard.,non-spam,English
100,"Hi Betty, thank you for reaching out. Your support ticket #INV66250 has been resolved. Let us know if you need anything else.",non-spam,English
101,"Earn $75,000 per week working from home! No experience needed. Sign up today at verifikasi-akun24.com.",spam,English
102,"Earn $10,000 per week working from home! No experience needed. Sign up today at secure-verify-now.com.",spam,English
103,"Make $7,500 a month trading forex with zero experience! Free training at cek-saldo-now.info, limited seats!",spam,English
104,This is a reminder that your appointment with Dr. Brown is on Thursday at 5:00 PM.,non-spam,English
105,"Turn $100 into $20,000 with our exclusive crypto trading bot! Limited spots available, join now at free-gift-claim.com.",spam,English
106,"IRS Notice: You are eligible for a tax refund of $1,000. Submit your details at account-confirm.info to receive payment within 24 hours.",spam,English
107,You've been selected to receive a free $50 Target gift card! Claim now: bit.ly/4pK1xW,spam,English
108,You've been selected to receive a free $100 Shopee gift card! Claim now: klaim-hadiah.net,spam,English
109,Lose 25lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at login-secure-id.net.,spam,English
110,Your package could not be delivered. Pay a $3 redelivery fee at tinyurl.com/9fQ2zR to reschedule.,spam,English
111,"James, you have 1 unread message waiting. Click free-gift-claim.com to view it now before it's deleted.",spam,English
112,This is a reminder that your appointment with Dr. Lee is on Thursday at 2:15 PM.,non-spam,English
113,Reminder: the project report is due on Monday. Please submit it through the shared drive.,non-spam,English
114,"Hi Susan, don't forget we have the birthday party this weekend. Can you bring the dessert?",non-spam,English
115,"Turn $100 into $20,000 with our exclusive crypto trading bot! Limited spots available, join now at promo-spesial24.com.",spam,English
116,"Congratulations Laura! You've won $5,000 in our MegaWin Lottery lottery. Claim your prize now at secure-verify-now.com before it expires!",spam,English
117,"Hi Michael, thank you for reaching out. Your support ticket #INV44649 has been resolved. Let us know if you need anything else.",non-spam,English
118,Act now! Your computer has been infected with 3 viruses. Download our cleaner immediately at tinyurl.com/9fQ2zR.,spam,English
119,You've been selected to receive a free $200 Indomaret gift card! Claim now: tinyurl.com/9fQ2zR,spam,English
120,"Hi David, can you review the attached document before our call at 10:30 AM?",non-spam,English
121,This is a reminder that your appointment with Dr. Johnson is on Monday at 9:00 AM.,non-spam,English
122,Reminder: your library books are due back on Tuesday. Renew online if you need more time.,non-spam,English
123,"Hi Steven, don't forget we have the wedding this weekend. Can you bring the dessert?",non-spam,English
124,"Congratulations Kevin! You've won $2,500 in our MegaWin Lottery lottery. Claim your prize now at bit.ly/2mZ7qT before it expires!",spam,English
125,"Limited time offer: Buy 1 get 3 FREE at Shopee! Shop now at secure-verify-now.com, today only!",spam,English
126,"Hi Anna, just a reminder that our meeting is scheduled for 9:00 AM on Saturday. Let me know if you need to reschedule.",non-spam,English
127,"Edward, you have 1 unread message waiting. Click verifikasi-akun24.com to view it now before it's deleted.",spam,English
128,"Hi Jessica, I saw your profile and I'm really interested in you. Click here to chat with me privately: cek-saldo-now.info",spam,English
129,"Hi Laura, can you review the attached document before our call at 3:45 PM?",non-spam,English
130,"Make $2,500 a month trading forex with zero experience! Free training at account-confirm.info, limited seats!",spam,English
131,This is a reminder that your appointment with Dr. Smith is on Tuesday at 10:30 AM.,non-spam,English
132,"Hi Jessica, don't forget we have the wedding this weekend. Can you bring the dessert?",non-spam,English
133,Your Bank of America card has been locked due to suspicious activity. Confirm your PIN at free-gift-claim.com now.,spam,English
134,Your Bank of America card has been locked due to suspicious activity. Confirm your PIN at login-secure-id.net now.,spam,English
135,"Earn $25,000 per week working from home! No experience needed. Sign up today at win-bonus24.net.",spam,English
136,"Hi Susan, thank you for reaching out. Your support ticket #INV53452 has been resolved. Let us know if you need anything else.",non-spam,English
137,Thanks for subscribing to our newsletter. Here's a quick summary of what's new this April.,non-spam,English
138,"Hi David, just a reminder that our meeting is scheduled for 3:45 PM on Wednesday. Let me know if you need to reschedule.",non-spam,English
139,Your monthly statement is now available in your account. Total spending for August was within budget.,non-spam,English
140,"Hi James, don't forget we have the birthday party this weekend. Can you bring the dessert?",non-spam,English
141,"Hi Daniel, don't forget we have the wedding this weekend. Can you bring a folding chair?",non-spam,English
142,"Download Photoshop CC 2024 for FREE - full version, no survey required! Click here now: bit.ly/4pK1xW",spam,English
143,"Hi Anna, thank you for reaching out. Your support ticket #INV93313 has been resolved. Let us know if you need anything else.",non-spam,English
144,"WINNER! You've been chosen for our exclusive $15,000 cash giveaway. Reply YES or visit login-secure-id.net to claim.",spam,English
145,"Hi Nancy, just a reminder that our meeting is scheduled for 2:15 PM on Monday. Let me know if you need to reschedule.",non-spam,English
146,"Make $2,500 a month trading forex with zero experience! Free training at verifikasi-akun24.com, limited seats!",spam,English
147,URGENT: Your Chase account has been suspended. Verify your identity immediately at verifikasi-akun24.com to avoid permanent closure.,spam,English
148,Your order #INV46231 has been shipped and is expected to arrive on Tuesday. Track your package using your account dashboard.,non-spam,English
149,"Hi Sandra, I saw your profile and I'm really interested in you. Click here to chat with me privately: klaim-hadiah.net",spam,English
150,You've been selected to receive a free $50 Amazon gift card! Claim now: win-bonus24.net,spam,English
151,Your order #INV57216 has been shipped and is expected to arrive on Monday. Track your package using your account dashboard.,non-spam,English
152,"Hi Sandra, I saw your profile and I'm really interested in you. Click here to chat with me privately: bit.ly/4pK1xW",spam,English
153,Your Wells Fargo card has been locked due to suspicious activity. Confirm your PIN at bit.ly/2mZ7qT now.,spam,English
154,"Hi Karen, don't forget we have the birthday party this weekend. Can you bring the dessert?",non-spam,English
155,Lose 29lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at account-confirm.info.,spam,English
156,Your Citibank card has been locked due to suspicious activity. Confirm your PIN at bit.ly/4pK1xW now.,spam,English
157,"Hi Susan, I saw your profile and I'm really interested in you. Click here to chat with me privately: win-bonus24.net",spam,English
158,"Hi Susan, thank you for reaching out. Your support ticket #INV14522 has been resolved. Let us know if you need anything else.",non-spam,English
159,Earn $500 per week working from home! No experience needed. Sign up today at win-bonus24.net.,spam,English
160,"Hi James, don't forget we have the birthday party this weekend. Can you bring extra plates?",non-spam,English
161,Your Bank of America card has been locked due to suspicious activity. Confirm your PIN at tinyurl.com/9fQ2zR now.,spam,English
162,FINAL NOTICE: Your subscription will be charged $149 tomorrow unless you cancel now at bit.ly/4pK1xW.,spam,English
163,URGENT: Your Wells Fargo account has been suspended. Verify your identity immediately at secure-verify-now.com to avoid permanent closure.,spam,English
164,"Hi David, don't forget we have the school fair this weekend. Can you bring the dessert?",non-spam,English
165,"Hi John, thank you for reaching out. Your support ticket #INV10320 has been resolved. Let us know if you need anything else.",non-spam,English
166,"Hey Linda, are we still on for dinner tonight? Let me know what time works for you.",non-spam,English
167,"Hi Helen, thank you for reaching out. Your support ticket #INV47247 has been resolved. Let us know if you need anything else.",non-spam,English
168,This is a reminder that your appointment with Dr. Brown is on Monday at 2:15 PM.,non-spam,English
169,"Get approved for a $50,000 loan in minutes! No credit check required. Apply now at login-secure-id.net.",spam,English
170,"Hi Paul, don't forget we have the family reunion this weekend. Can you bring a folding chair?",non-spam,English
171,"Hi David, thank you for reaching out. Your support ticket #INV79422 has been resolved. Let us know if you need anything else.",non-spam,English
172,"Hi William, I saw your profile and I'm really interested in you. Click here to chat with me privately: verifikasi-akun24.com",spam,English
173,"Hi William, just a reminder that our meeting is scheduled for 10:30 AM on Thursday. Let me know if you need to reschedule.",non-spam,English
174,"Hi Jessica, just a reminder that our meeting is scheduled for 10:30 AM on Monday. Let me know if you need to reschedule.",non-spam,English
175,You've been selected to receive a free $100 Best Buy gift card! Claim now: bit.ly/4pK1xW,spam,English
176,This is a reminder that your appointment with Dr. Patel is on Saturday at 3:45 PM.,non-spam,English
177,"Limited time offer: Buy 1 get 3 FREE at Indomaret! Shop now at free-gift-claim.com, today only!",spam,English
178,Your flight booking is confirmed. Departure on Tuesday at 3:45 PM. Check in online to save time.,non-spam,English
179,"Emily, you have 1 unread message waiting. Click free-gift-claim.com to view it now before it's deleted.",spam,English
180,"Hi Mark, don't forget we have the wedding this weekend. Can you bring the speakers?",non-spam,English
181,Your order #INV74447 has been shipped and is expected to arrive on Thursday. Track your package using your account dashboard.,non-spam,English
182,"Hi Carol, I saw your profile and I'm really interested in you. Click here to chat with me privately: klaim-hadiah.net",spam,English
183,Your order #INV86756 has been shipped and is expected to arrive on Monday. Track your package using your account dashboard.,non-spam,English
184,"Hi Anna, can you review the attached document before our call at 2:15 PM?",non-spam,English
185,"Hot singles in your area want to meet you tonight! Sign up free at bit.ly/4pK1xW, no credit card needed.",spam,English
186,"Limited time offer: Buy 1 get 3 FREE at Tokopedia! Shop now at free-gift-claim.com, today only!",spam,English
187,This is a reminder that your appointment with Dr. Patel is on Friday at 5:00 PM.,non-spam,English
188,Your order #INV77353 has been shipped and is expected to arrive on Tuesday. Track your package using your account dashboard.,non-spam,English
189,Thanks for subscribing to our newsletter. Here's a quick summary of what's new this June.,non-spam,English
190,"Hi Sarah, don't forget we have the birthday party this weekend. Can you bring a folding chair?",non-spam,English
191,"George, you have 1 unread message waiting. Click fastpay-update.com to view it now before it's deleted.",spam,English
192,"IRS Notice: You are eligible for a tax refund of $15,000. Submit your details at account-confirm.info to receive payment within 24 hours.",spam,English
193,"Hi Kevin, thank you for reaching out. Your support ticket #INV67373 has been resolved. Let us know if you need anything else.",non-spam,English
194,"IRS Notice: You are eligible for a tax refund of $20,000. Submit your details at bit.ly/4pK1xW to receive payment within 24 hours.",spam,English
195,"Download FIFA 25 for FREE - full version, no survey required! Click here now: bit.ly/3xK9pL",spam,English
196,Your Bank of America card has been locked due to suspicious activity. Confirm your PIN at bit.ly/4pK1xW now.,spam,English
197,"Hi Patricia, thanks for the quick turnaround on the design. The client loved it!",non-spam,English
198,"IRS Notice: You are eligible for a tax refund of $75,000. Submit your details at free-gift-claim.com to receive payment within 24 hours.",spam,English
199,"IRS Notice: You are eligible for a tax refund of $1,000. Submit your details at claim-prize-today.net to receive payment within 24 hours.",spam,English
200,"Hi James, don't forget we have the wedding this weekend. Can you bring a folding chair?",non-spam,English
201,Your flight booking is confirmed. Departure on Sunday at 2:15 PM. Check in online to save time.,non-spam,English
202,"Paul, you have 1 unread message waiting. Click account-confirm.info to view it now before it's deleted.",spam,English
203,"Download Photoshop CC 2024 for FREE - full version, no survey required! Click here now: free-gift-claim.com",spam,English
204,"Make $25,000 a month trading forex with zero experience! Free training at fastpay-update.com, limited seats!",spam,English
205,"Make $25,000 a month trading forex with zero experience! Free training at win-bonus24.net, limited seats!",spam,English
206,"Congratulations Paul! You've won $75,000 in our GlobalTrust Bank lottery. Claim your prize now at promo-spesial24.com before it expires!",spam,English
207,"Hi Karen, just a reminder that our meeting is scheduled for 5:00 PM on Wednesday. Let me know if you need to reschedule.",non-spam,English
208,"Hi Edward, don't forget we have the family reunion this weekend. Can you bring extra plates?",non-spam,English
209,This is a reminder that your appointment with Dr. Lee is on Thursday at 5:00 PM.,non-spam,English
210,"Hi Sandra, I saw your profile and I'm really interested in you. Click here to chat with me privately: fastpay-update.com",spam,English
211,"Hi Kevin, thank you for reaching out. Your support ticket #INV65550 has been resolved. Let us know if you need anything else.",non-spam,English
212,Your package could not be delivered. Pay a $2 redelivery fee at login-secure-id.net to reschedule.,spam,English
213,"Hi Thomas, I saw your profile and I'm really interested in you. Click here to chat with me privately: bit.ly/2mZ7qT",spam,English
214,"Congratulations Kevin! You've won $50,000 in our ShopMax lottery. Claim your prize now at cek-saldo-now.info before it expires!",spam,English
215,"IRS Notice: You are eligible for a tax refund of $1,000. Submit your details at fastpay-update.com to receive payment within 24 hours.",spam,English
216,"Hi Linda, just a reminder that our meeting is scheduled for 5:00 PM on Sunday. Let me know if you need to reschedule.",non-spam,English
217,"Hi Sarah, don't forget we have the picnic this weekend. Can you bring extra plates?",non-spam,English
218,FINAL NOTICE: Your subscription will be charged $49 tomorrow unless you cancel now at bit.ly/4pK1xW.,spam,English
219,"IRS Notice: You are eligible for a tax refund of $5,000. Submit your details at cek-saldo-now.info to receive payment within 24 hours.",spam,English
220,This is a reminder that your appointment with Dr. Smith is on Tuesday at 5:00 PM.,non-spam,English
221,"Earn $7,500 per week working from home! No experience needed. Sign up today at win-bonus24.net.",spam,English
222,"Patricia, you have 1 unread message waiting. Click free-gift-claim.com to view it now before it's deleted.",spam,English
223,Your Wells Fargo card has been locked due to suspicious activity. Confirm your PIN at tinyurl.com/9fQ2zR now.,spam,English
224,Your order #INV45405 has been shipped and is expected to arrive on Monday. Track your package using your account dashboard.,non-spam,English
225,Thanks for subscribing to our newsletter. Here's a quick summary of what's new this February.,non-spam,English
226,"Hi Laura, just a reminder that our meeting is scheduled for 9:00 AM on Tuesday. Let me know if you need to reschedule.",non-spam,English
227,Lose 17lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at promo-spesial24.com.,spam,English
228,You've been selected to receive a free $100 Indomaret gift card! Claim now: login-secure-id.net,spam,English
229,"Hi Nancy, just a reminder that our meeting is scheduled for 9:00 AM on Monday. Let me know if you need to reschedule.",non-spam,English
230,"Get approved for a $20,000 loan in minutes! No credit check required. Apply now at bit.ly/4pK1xW.",spam,English
231,"Hi Mark, just a reminder that our meeting is scheduled for 10:30 AM on Wednesday. Let me know if you need to reschedule.",non-spam,English
232,You've been selected to receive a free $100 Alfamart gift card! Claim now: verifikasi-akun24.com,spam,English
233,"Hi James, thank you for reaching out. Your support ticket #INV11292 has been resolved. Let us know if you need anything else.",non-spam,English
234,This is a reminder that your appointment with Dr. Brown is on Tuesday at 1:00 PM.,non-spam,English
235,"Hi Nancy, can you review the attached document before our call at 2:15 PM?",non-spam,English
236,"WINNER! You've been chosen for our exclusive $20,000 cash giveaway. Reply YES or visit login-secure-id.net to claim.",spam,English
237,"Hi Donna, just a reminder that our meeting is scheduled for 10:30 AM on Sunday. Let me know if you need to reschedule.",non-spam,English
238,Lose 20lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at klaim-hadiah.net.,spam,English
239,"Hi Betty, just a reminder that our meeting is scheduled for 2:15 PM on Saturday. Let me know if you need to reschedule.",non-spam,English
240,"Make $25,000 a month trading forex with zero experience! Free training at free-gift-claim.com, limited seats!",spam,English
241,"Earn $15,000 per week working from home! No experience needed. Sign up today at win-bonus24.net.",spam,English
242,"Hi Nancy, can you review the attached document before our call at 5:00 PM?",non-spam,English
243,"Get approved for a $50,000 loan in minutes! No credit check required. Apply now at bit.ly/3xK9pL.",spam,English
244,"Earn $50,000 per week working from home! No experience needed. Sign up today at secure-verify-now.com.",spam,English
245,Your flight booking is confirmed. Departure on Tuesday at 10:30 AM. Check in online to save time.,non-spam,English
246,"IRS Notice: You are eligible for a tax refund of $20,000. Submit your details at tinyurl.com/9fQ2zR to receive payment within 24 hours.",spam,English
247,"Make $100,000 a month trading forex with zero experience! Free training at cek-saldo-now.info, limited seats!",spam,English
248,"Hi James, can you review the attached document before our call at 9:00 AM?",non-spam,English
249,WINNER! You've been chosen for our exclusive $500 cash giveaway. Reply YES or visit login-secure-id.net to claim.,spam,English
250,"Hi William, thank you for reaching out. Your support ticket #INV76655 has been resolved. Let us know if you need anything else.",non-spam,English
251,This is a reminder that your appointment with Dr. Johnson is on Saturday at 9:00 AM.,non-spam,English
252,"Hi Emily, I saw your profile and I'm really interested in you. Click here to chat with me privately: bit.ly/3xK9pL",spam,English
253,Your flight booking is confirmed. Departure on Wednesday at 2:15 PM. Check in online to save time.,non-spam,English
254,"Limited time offer: Buy 1 get 3 FREE at Best Buy! Shop now at bit.ly/2mZ7qT, today only!",spam,English
255,"Hi team, please find attached the report for February. Let me know if you have any questions before the review.",non-spam,English
256,"Hi John, don't forget we have the family reunion this weekend. Can you bring the speakers?",non-spam,English
257,Lose 14lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at cek-saldo-now.info.,spam,English
258,"Turn $100 into $2,500 with our exclusive crypto trading bot! Limited spots available, join now at tinyurl.com/9fQ2zR.",spam,English
259,"Hi Emily, thank you for reaching out. Your support ticket #INV27340 has been resolved. Let us know if you need anything else.",non-spam,English
260,This is a reminder that your appointment with Dr. Smith is on Wednesday at 5:00 PM.,non-spam,English
261,"WINNER! You've been chosen for our exclusive $7,500 cash giveaway. Reply YES or visit bit.ly/3xK9pL to claim.",spam,English
262,"Hi James, thank you for reaching out. Your support ticket #INV28993 has been resolved. Let us know if you need anything else.",non-spam,English
263,"Congratulations Karen! You've won $5,000 in our FastCash Loans lottery. Claim your prize now at promo-spesial24.com before it expires!",spam,English
264,Your order #INV74450 has been shipped and is expected to arrive on Tuesday. Track your package using your account dashboard.,non-spam,English
265,"Hi Patricia, thank you for reaching out. Your support ticket #INV66651 has been resolved. Let us know if you need anything else.",non-spam,English
266,Your order #INV56118 has been shipped and is expected to arrive on Thursday. Track your package using your account dashboard.,non-spam,English
267,"Make $15,000 a month trading forex with zero experience! Free training at tinyurl.com/9fQ2zR, limited seats!",spam,English
268,"Download FIFA 25 for FREE - full version, no survey required! Click here now: bit.ly/2mZ7qT",spam,English
269,"Turn $100 into $100,000 with our exclusive crypto trading bot! Limited spots available, join now at win-bonus24.net.",spam,English
270,"Hi Brian, thank you for reaching out. Your support ticket #INV54520 has been resolved. Let us know if you need anything else.",non-spam,English
271,This is a reminder that your appointment with Dr. Johnson is on Thursday at 10:30 AM.,non-spam,English
272,"Hi Kevin, don't forget we have the picnic this weekend. Can you bring the speakers?",non-spam,English
273,Lose 30lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at fastpay-update.com.,spam,English
274,"Hi John, happy birthday! Hope you have a wonderful day with friends and family.",non-spam,English
275,"Hi William, can you review the attached document before our call at 5:00 PM?",non-spam,English
276,"Hi Steven, thanks for the quick turnaround on the design. The client loved it!",non-spam,English
277,Lose 18lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at claim-prize-today.net.,spam,English
278,"James, you have 1 unread message waiting. Click verifikasi-akun24.com to view it now before it's deleted.",spam,English
279,"Hi Laura, can you review the attached document before our call at 9:00 AM?",non-spam,English
